mode,source_raw,destination_raw,reason,raw_record
flight,Bellary,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bellary"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2068.16, ""time_hours"": 2.59, ""availability_raw"": ""Yes""}"
flight,Bhuj,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bhuj"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2462.76, ""time_hours"": 3.08, ""availability_raw"": ""Yes""}"
flight,Bhopal,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bhopal"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1688.38, ""time_hours"": 2.11, ""availability_raw"": ""Yes""}"
flight,Bhavnagar,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bhavnagar"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2240.74, ""time_hours"": 2.8, ""availability_raw"": ""Yes""}"
flight,Bikaner,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bikaner"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2080.59, ""time_hours"": 2.6, ""availability_raw"": ""Yes""}"
flight,Bengaluru,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bengaluru"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2130.03, ""time_hours"": 2.66, ""availability_raw"": ""Yes""}"
flight,Mumbai,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Mumbai"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2255.26, ""time_hours"": 2.82, ""availability_raw"": ""Yes""}"
flight,Hyderabad,Hyderabad,self_loop,"{""source_raw"": ""Hyderabad"", ""destination_raw"": ""Hyderabad"", ""mode_raw"": ""Flight"", ""distance_km"": 23.71, ""time_hours"": 0.03, ""availability_raw"": ""No""}"
flight,Hyderabad,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Hyderabad"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1793.06, ""time_hours"": 2.24, ""availability_raw"": ""Yes""}"
flight,Bathinda,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Bathinda"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1959.0, ""time_hours"": 2.45, ""availability_raw"": ""Yes""}"
flight,Kozhikode (Calicut),(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Kozhikode (Calicut)"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2423.59, ""time_hours"": 3.03, ""availability_raw"": ""Yes""}"
flight,Kolkata,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Kolkata"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 603.5, ""time_hours"": 0.75, ""availability_raw"": ""Yes""}"
flight,Kadapa,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Kadapa"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 1947.52, ""time_hours"": 2.43, ""availability_raw"": ""Yes""}"
flight,Coimbatore,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Coimbatore"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2343.46, ""time_hours"": 2.93, ""availability_raw"": ""Yes""}"
flight,Cooch Behar,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Cooch Behar"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 477.43, ""time_hours"": 0.6, ""availability_raw"": ""Yes""}"
flight,Kochi,(City varies; often used for smaller town strips),unresolved_city_name,"{""source_raw"": ""Kochi"", ""destination_raw"": ""(City varies; often used for smaller town strips)"", ""mode_raw"": ""Flight"", ""distance_km"": 2461.77, ""time_hours"": 3.08, ""availability_raw"": ""Yes""}"
